,Ensembl,Symbol,s28mo_AR_M-s22mo_AR_M_logFC,s28mo_AR_M-s22mo_AR_M_logCPM,s28mo_AR_M-s22mo_AR_M_LR,s28mo_AR_M-s22mo_AR_M_PValue,s28mo_AR_M-s22mo_AR_M_Status,s28mo_AR_M-s22mo_AR_M_Status,Description
4420,ENSMUSG00000026914,Psmd14,-0.1181630194,5.48409086,1.1704949019125,0.27929957483464546,0.8708883706310245,NS,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14"
4584,ENSMUSG00000027330,Cdc25b,0.2812970671,0.96819189,1.1673464517219,0.27994714479234534,0.8708883706310245,NS,cell division cycle 25B
4855,ENSMUSG00000027998,Plrg1,-0.1297246049,4.19553206,1.1652367972367,0.28038211640160954,0.8708883706310245,NS,pleiotropic regulator 1
5035,ENSMUSG00000028411,Aptx,0.1333396408,4.00288122,1.1665428804129,0.2801127258133149,0.8708883706310245,NS,aprataxin
5061,ENSMUSG00000028455,Stoml2,-0.1129147297,5.76367636,1.1744628415186,0.27848614068210226,0.8708883706310245,NS,stomatin (Epb7.2)-like 2
5142,ENSMUSG00000028636,Ppcs,-0.1827106903,2.86418127,1.1601410719517,0.2814362852758607,0.8708883706310245,NS,phosphopantothenoylcysteine synthetase
5309,ENSMUSG00000028980,H6pd,-0.1225707919,6.47771199,1.1620351549647,0.2810438667649891,0.8708883706310245,NS,hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
5369,ENSMUSG00000029097,Trmt44,-0.2453353936,1.44440126,1.1668868424805,0.28004183510082714,0.8708883706310245,NS,tRNA methyltransferase 44
5452,ENSMUSG00000029276,Glmn,0.2395755635,1.73460629,1.1633091666983,0.2807803041297493,0.8708883706310245,NS,"glomulin, FKBP associated protein"
5531,ENSMUSG00000029462,Vps29,-0.1230215934,4.1467156,1.1666228694473,0.28009623802247297,0.8708883706310245,NS,VPS29 retromer complex component
5610,ENSMUSG00000029634,Rnf6,-0.1175979742,5.86558868,1.1592016561983,0.28163117144582156,0.8708883706310245,NS,ring finger protein (C3H2C3 type) 6
5755,ENSMUSG00000030091,Nup210,0.1293109193,5.06330587,1.1712391474395,0.2791467753182251,0.8708883706310245,NS,nucleoporin 210
6127,ENSMUSG00000031109,Enox2,-0.1469173768,4.41241418,1.1603368037123,0.2813957012648653,0.8708883706310245,NS,ecto-NOX disulfide-thiol exchanger 2
6263,ENSMUSG00000031467,Agpat5,-0.1304951956,4.02990418,1.1575550009683,0.28197318942337724,0.8708883706310245,NS,"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)"
6590,ENSMUSG00000032186,Tmod2,0.1853562763,2.52383811,1.1619695455763,0.2810574482402627,0.8708883706310245,NS,tropomodulin 2
6814,ENSMUSG00000032667,Pon2,-0.1174757964,5.09387845,1.1738634997431,0.278608815127671,0.8708883706310245,NS,paraoxonase 2
6821,ENSMUSG00000032705,Exd2,0.124026174,4.76721232,1.163832541286,0.2806721208643541,0.8708883706310245,NS,exonuclease 3'-5' domain containing 2
6950,ENSMUSG00000033209,Ttc28,0.1282326199,4.86500244,1.1570237780447,0.2820836389086379,0.8708883706310245,NS,tetratricopeptide repeat domain 28
7784,ENSMUSG00000036751,Cox6b1,-0.1257776121,7.77847692,1.1598367067583,0.281499408584157,0.8708883706310245,NS,"cytochrome c oxidase, subunit 6B1"
7848,ENSMUSG00000036985,Zdhhc9,0.1756019131,3.00985365,1.1700509846006,0.27939076479550956,0.8708883706310245,NS,"zinc finger, DHHC domain containing 9"
8163,ENSMUSG00000038132,Rbm24,-0.1217043898,7.61434556,1.1571280804355,0.2820619485089696,0.8708883706310245,NS,RNA binding motif protein 24
8298,ENSMUSG00000038522,Mfsd4b1,-0.2262150529,2.23545645,1.1699735024355,0.27940668511136185,0.8708883706310245,NS,major facilitator superfamily domain containing 4B1
8345,ENSMUSG00000038658,Ric1,-0.1345827535,5.36286817,1.1639434811531,0.280649195986011,0.8708883706310245,NS,RAB6A GEF complex partner 1
8356,ENSMUSG00000038690,Atp5j2,-0.1195548598,7.94745169,1.1635984423104,0.28072050339318577,0.8708883706310245,NS,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2"
8360,ENSMUSG00000038697,Taf5l,-0.1335208891,4.09922672,1.1636545303118,0.28070891041680907,0.8708883706310245,NS,TATA-box binding protein associated factor 5 like
8717,ENSMUSG00000040007,Bahd1,-0.1464511878,3.56405787,1.1627880525015,0.28088807248304165,0.8708883706310245,NS,bromo adjacent homology domain containing 1
8946,ENSMUSG00000040836,Gpr161,0.3293740414,1.0555309,1.1595313035536,0.2815627651519252,0.8708883706310245,NS,G protein-coupled receptor 161
8958,ENSMUSG00000040865,Ino80d,-0.1338749981,4.03485368,1.1575725114707,0.28196954964921117,0.8708883706310245,NS,INO80 complex subunit D
9395,ENSMUSG00000042831,Alkbh6,-0.1764413352,3.47441181,1.162864847436,0.28087218772391237,0.8708883706310245,NS,alkB homolog 6
9545,ENSMUSG00000044145,1810024B03Rik,-0.3766590248,-0.05256853,1.1586841356719,0.28173860634499504,0.8708883706310245,NS,RIKEN cDNA 1810024B03 gene
9709,ENSMUSG00000045318,Adra2c,0.3942344362,-0.10806889,1.1734929363969,0.2786846968219299,0.8708883706310245,NS,"adrenergic receptor, alpha 2c"
10314,ENSMUSG00000050069,Grem2,0.490504979,1.37271601,1.1630169198416,0.2808407354348174,0.8708883706310245,NS,"gremlin 2, DAN family BMP antagonist"
10466,ENSMUSG00000051367,Six1,-0.1336551054,6.60035682,1.1666226356025,0.28009628622210814,0.8708883706310245,NS,sine oculis-related homeobox 1
10974,ENSMUSG00000056214,Pard6g,0.4224863429,0.50948622,1.1652480324207,0.2803797976568926,0.8708883706310245,NS,par-6 family cell polarity regulator gamma
10992,ENSMUSG00000056412,Psenen-ps,0.4985316232,-0.81912599,1.1580014380547,0.2818804105057179,0.8708883706310245,NS,"presenilin enhancer gamma secretase subunit, pseudogene"
11071,ENSMUSG00000057176,Ccdc189,-0.2428935458,1.95599599,1.159186510618,0.2816343148636258,0.8708883706310245,NS,coiled-coil domain containing 189
11283,ENSMUSG00000059474,Mbtd1,-0.174363271,3.17341789,1.1682618911846,0.27975866306658737,0.8708883706310245,NS,mbt domain containing 1
11302,ENSMUSG00000059708,Akap17b,-0.2396913312,1.82107023,1.161177616893,0.281221446897332,0.8708883706310245,NS,A kinase (PRKA) anchor protein 17B
11530,ENSMUSG00000062098,Btbd3,0.1270689187,4.07274695,1.1690792084888,0.27959051915783295,0.8708883706310245,NS,BTB (POZ) domain containing 3
11550,ENSMUSG00000062300,Nectin2,-0.2417287633,1.77761845,1.1646684085592,0.28049945343922417,0.8708883706310245,NS,nectin cell adhesion molecule 2
12294,ENSMUSG00000073856,Iqck,-0.2253129102,2.24401513,1.1739695758495,0.27858709830484263,0.8708883706310245,NS,IQ motif containing K
12596,ENSMUSG00000079057,Cyp4v3,0.2348124087,1.65526502,1.1719567811989,0.27899953919683473,0.8708883706310245,NS,"cytochrome P450, family 4, subfamily v, polypeptide 3"
12773,ENSMUSG00000084799,Ino80dos,0.2079818008,2.00607621,1.1711528836006,0.2791644805685245,0.8708883706310245,NS,"INO80 complex subunit D, opposite strand"
12829,ENSMUSG00000085348,Myhas,-0.1851087834,7.61096608,1.1589260768511,0.2816883740143793,0.8708883706310245,NS,myosin heavy chain gene antisense RNA
12867,ENSMUSG00000085791,Rpl30-ps9,0.7091123733,-0.00650373,1.1666670031203,0.28008714146518066,0.8708883706310245,NS,"ribosomal protein L30, pseudogene 9"
13131,ENSMUSG00000090608,Gm17200,-0.4106140238,-0.09252351,1.158444051531,0.28178846430576315,0.8708883706310245,NS,predicted gene 17200
13630,ENSMUSG00000102070,Gm28661,-0.1280940485,12.79673719,1.1602699005132,0.28140957247995835,0.8708883706310245,NS,predicted gene 28661
13691,ENSMUSG00000103502,9330121J05Rik,-0.5108758047,-0.65116364,1.1638397856224,0.28067062380527596,0.8708883706310245,NS,RIKEN cDNA 9330121J05 gene
13608,ENSMUSG00000101304,Plet1os,0.2441343506,1.40193695,1.1560797644169,0.28228004899404424,0.8713068523930007,NS,"placenta expressed transcript 1, opposite strand"
2092,ENSMUSG00000020747,Tmem94,-0.1316292387,6.45050983,1.1548536354342,0.28253541385405606,0.8716821233775808,NS,transmembrane protein 94
3636,ENSMUSG00000024982,Zdhhc6,0.1162692519,4.32003003,1.1548423978327,0.28253775565090117,0.8716821233775808,NS,"zinc finger, DHHC domain containing 6"
5078,ENSMUSG00000028480,Glipr2,0.296497068,0.8717697,1.154198649168,0.2826719470377533,0.8716821233775808,NS,GLI pathogenesis-related 2
5160,ENSMUSG00000028673,Fuca1,0.1133063708,4.47396327,1.1537430888075,0.282766958715108,0.8716821233775808,NS,"fucosidase, alpha-L- 1, tissue"
5611,ENSMUSG00000029635,Cdk8,-0.1533772504,4.09678337,1.1537728244184,0.2827607558231241,0.8716821233775808,NS,cyclin-dependent kinase 8
5952,ENSMUSG00000030630,Fah,-0.3130668579,1.8152487,1.1542017191255,0.2826713069043814,0.8716821233775808,NS,fumarylacetoacetate hydrolase
541,ENSMUSG00000004099,Dnmt1,0.164261095,3.38624464,1.1530202539001,0.2829177961105143,0.8719593474958285,NS,DNA methyltransferase (cytosine-5) 1
11665,ENSMUSG00000063535,Zfp773,0.3483064147,0.49360283,1.1523762366857,0.283052272020461,0.872186036643332,NS,zinc finger protein 773
298,ENSMUSG00000002205,Vrk3,-0.1361473715,3.77194156,1.1497192402005,0.2836079301810247,0.8722417469012194,NS,vaccinia related kinase 3
935,ENSMUSG00000008859,Rala,0.1218351939,4.81009471,1.1488892813176,0.283781782665452,0.8722417469012194,NS,v-ral simian leukemia viral oncogene A (ras related)
2285,ENSMUSG00000021193,Pitrm1,-0.113553129,5.33474032,1.1475384249118,0.2840650369138967,0.8722417469012194,NS,pitrilysin metallepetidase 1
2867,ENSMUSG00000022556,Hsf1,-0.1189519854,5.10330611,1.1474983598709,0.2840734434169647,0.8722417469012194,NS,heat shock factor 1
3164,ENSMUSG00000023852,Chd1,-0.1300785636,4.33050271,1.1436723819044,0.28487767001355935,0.8722417469012194,NS,chromodomain helicase DNA binding protein 1
3820,ENSMUSG00000025410,Dctn2,-0.1099548482,6.4366585,1.1462065714093,0.2843446572769845,0.8722417469012194,NS,dynactin 2
4234,ENSMUSG00000026490,Cdc42bpa,0.1197165383,5.16782081,1.1509523136795,0.28334988574241254,0.8722417469012194,NS,CDC42 binding protein kinase alpha
4300,ENSMUSG00000026648,Dclre1c,0.2878893592,1.19145879,1.1476985984518,0.2840314322253592,0.8722417469012194,NS,DNA cross-link repair 1C
4659,ENSMUSG00000027506,Tpd52,-0.1160243279,4.86987068,1.147157134707,0.2841450525335866,0.8722417469012194,NS,tumor protein D52
4725,ENSMUSG00000027661,Slc2a10,0.3812131552,0.57938899,1.1516706242972,0.2831997023745946,0.8722417469012194,NS,"solute carrier family 2 (facilitated glucose transporter), member 10"
4732,ENSMUSG00000027673,Ndufb5,-0.1237846638,7.62036923,1.1498348326841,0.28358372758596623,0.8722417469012194,NS,NADH:ubiquinone oxidoreductase subunit B5
5109,ENSMUSG00000028563,Tm2d1,0.119675302,4.61773134,1.1460374372168,0.28438019166371553,0.8722417469012194,NS,TM2 domain containing 1
5185,ENSMUSG00000028713,Cyp4b1,-0.1983935274,2.41897235,1.1493203799462,0.2836914630785475,0.8722417469012194,NS,"cytochrome P450, family 4, subfamily b, polypeptide 1"
5291,ENSMUSG00000028954,Nub1,-0.1196008674,5.78856062,1.1436086783413,0.2848910850122605,0.8722417469012194,NS,negative regulator of ubiquitin-like proteins 1
7296,ENSMUSG00000034621,Gpatch8,-0.110242257,5.90043322,1.1448865646897,0.284622134664297,0.8722417469012194,NS,G patch domain containing 8
8057,ENSMUSG00000037773,Pced1a,-0.188647313,2.86635319,1.1462490286999,0.2843357380612335,0.8722417469012194,NS,PC-esterase domain containing 1A
8113,ENSMUSG00000037979,Ccdc92,-0.5275316114,-0.83794534,1.1475877529133,0.2840546872762966,0.8722417469012194,NS,coiled-coil domain containing 92
8214,ENSMUSG00000038260,Trpm4,-0.1120237679,5.31268071,1.1516486101634,0.2832043035616566,0.8722417469012194,NS,"transient receptor potential cation channel, subfamily M, member 4"
8629,ENSMUSG00000039684,Gm5422,0.5933797575,-0.77630731,1.1448731622289,0.2846249537426703,0.8722417469012194,NS,predicted pseudogene 5422
9507,ENSMUSG00000043832,Clec4a3,0.463223281,-0.48785942,1.1480159618867,0.28396486369513513,0.8722417469012194,NS,"C-type lectin domain family 4, member a3"
10018,ENSMUSG00000047766,Lrrc49,-0.6318192915,2.31811897,1.1503554366668,0.2834747566478488,0.8722417469012194,NS,leucine rich repeat containing 49
10208,ENSMUSG00000049288,Lix1l,0.1701346796,3.41997259,1.1454651015959,0.2845004787344758,0.8722417469012194,NS,Lix1-like
11706,ENSMUSG00000063952,Brpf3,-0.1548797466,4.30574587,1.1456066137508,0.28447073130006056,0.8722417469012194,NS,"bromodomain and PHD finger containing, 3"
12075,ENSMUSG00000070738,Dgkd,-0.115019363,5.7090771,1.1446633389305,0.2846690926646016,0.8722417469012194,NS,"diacylglycerol kinase, delta"
12369,ENSMUSG00000074643,Cpne1,0.1554393445,3.37407536,1.14519098715,0.28455811186611607,0.8722417469012194,NS,copine I
12696,ENSMUSG00000081087,Rps15a-ps7,-0.1776070786,2.76554516,1.1438333307745,0.2848437802042134,0.8722417469012194,NS,"ribosomal protein S15A, pseudogene 7"
12742,ENSMUSG00000083364,Llph-ps2,0.2620035942,1.32656339,1.1435749669332,0.2848981844446844,0.8722417469012194,NS,"LLP homolog, pseudogene 2"
12817,ENSMUSG00000085260,Med9os,0.5103820304,-0.7539297,1.1494102169239,0.2836726458935232,0.8722417469012194,NS,"mediator complex subunit 9, opposite strand"
13983,ENSMUSG00000110275,Gm5905,0.2168344462,2.09215455,1.1501412512805,0.28351958273591876,0.8722417469012194,NS,predicted gene 5905
14190,ENSMUSG00000116165,Pdxp,0.3137777814,1.36286989,1.1436226014181,0.2848881529562613,0.8722417469012194,NS,"pyridoxal (pyridoxine, vitamin B6) phosphatase"
16,ENSMUSG00000000142,Axin2,0.1896489164,3.04718834,1.1428994878492,0.2850404838199178,0.8723483991441308,NS,axin 2
2549,ENSMUSG00000021846,Peli2,0.1409430023,3.69894256,1.1426142451548,0.28510060135666365,0.8723483991441308,NS,pellino 2
6118,ENSMUSG00000031078,Cttn,-0.1077301374,4.6710597,1.1425420219254,0.28511582562135984,0.8723483991441308,NS,cortactin
14062,ENSMUSG00000112358,Gm33869,0.4866807627,-0.43714012,1.1422330777078,0.2851809610242464,0.8723612474408357,NS,"predicted gene, 33869"
7237,ENSMUSG00000034403,Pja1,0.1375156949,4.0532556,1.1417121087186,0.2852908408358745,0.8723896261332081,NS,praja ring finger ubiquitin ligase 1
9012,ENSMUSG00000041168,Lonp1,-0.1105956903,7.11104149,1.1416112746447,0.2853121143863985,0.8723896261332081,NS,"lon peptidase 1, mitochondrial"
1619,ENSMUSG00000019590,Cyb561,0.2324526734,1.97299651,1.1399199128776,0.2856692509637537,0.8725498179639635,NS,cytochrome b-561
3267,ENSMUSG00000024104,Washc2,-0.1190201079,5.70107075,1.140168032941,0.28561682411597494,0.8725498179639635,NS,WASH complex subunit 2
3399,ENSMUSG00000024413,Npc1,-0.1871685168,5.89874845,1.1400455241851,0.2856427082351366,0.8725498179639635,NS,NPC intracellular cholesterol transporter 1
12478,ENSMUSG00000076612,Ighg2c,-0.3070512832,2.29185329,1.140018077419,0.28564850770111216,0.8725498179639635,NS,immunoglobulin heavy constant gamma 2C
14193,ENSMUSG00000116262,Gm49544,0.2748981671,1.15813562,1.1405691711868,0.28553209091381354,0.8725498179639635,NS,"predicted gene, 49544"
743,ENSMUSG00000006058,Snf8,0.1276026761,3.95916313,1.1318661341054,0.28737763892328305,0.8725918531013068,NS,"SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae)"
759,ENSMUSG00000006288,Ttc5,0.172618922,2.74160256,1.1320132341629,0.28734631950503314,0.8725918531013068,NS,tetratricopeptide repeat domain 5
997,ENSMUSG00000010048,Ifrd2,-0.1258065049,5.51090594,1.132640782408,0.2872127554562465,0.8725918531013068,NS,interferon-related developmental regulator 2
1019,ENSMUSG00000010453,Kansl3,-0.1198281049,6.08987735,1.1335327026026,0.2870230596007762,0.8725918531013068,NS,KAT8 regulatory NSL complex subunit 3
1859,ENSMUSG00000020268,Lyrm7,-0.2208574901,2.17062154,1.1331464563119,0.2871051878945339,0.8725918531013068,NS,LYR motif containing 7
3120,ENSMUSG00000023249,Parp3,-0.1172474832,6.11679932,1.1291208611095,0.28796293848661075,0.8725918531013068,NS,"poly (ADP-ribose) polymerase family, member 3"
3629,ENSMUSG00000024970,Spindoc,-0.1665787891,2.78668336,1.1274856850268,0.28831228288778316,0.8725918531013068,NS,spindlin interactor and repressor of chromatin binding
3816,ENSMUSG00000025404,R3hdm2,-0.1108303992,7.07793098,1.1284205752833,0.2881124839005003,0.8725918531013068,NS,R3H domain containing 2
4985,ENSMUSG00000028280,Gabrr1,-0.4747717854,-0.67108283,1.1276209022114,0.2882833742032646,0.8725918531013068,NS,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 1"
5021,ENSMUSG00000028385,Snx30,0.1784775819,2.7442153,1.1356586043954,0.28657155883148105,0.8725918531013068,NS,sorting nexin family member 30
5096,ENSMUSG00000028538,St3gal3,-0.113559622,5.93584602,1.1375062461257,0.2861798875752833,0.8725918531013068,NS,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"
5562,ENSMUSG00000029528,Pxn,-0.1225814437,7.06472317,1.1296215828247,0.2878560703358569,0.8725918531013068,NS,paxillin
5614,ENSMUSG00000029640,Usp12,0.1102084455,4.86649062,1.1313165169888,0.287494697592669,0.8725918531013068,NS,ubiquitin specific peptidase 12
5739,ENSMUSG00000030060,Hmces,-0.2113479864,1.88582433,1.1311720758062,0.2875254710522355,0.8725918531013068,NS,"5-hydroxymethylcytosine (hmC) binding, ES cell specific"
6490,ENSMUSG00000031948,Kars,-0.1105313637,6.80541283,1.13409467678,0.28690361924983737,0.8725918531013068,NS,lysyl-tRNA synthetase
6909,ENSMUSG00000033044,Dhrs7c,0.1373765156,6.69587186,1.1285086337653,0.2880936736614559,0.8725918531013068,NS,dehydrogenase/reductase (SDR family) member 7C
7158,ENSMUSG00000034118,Tpst1,0.189863461,2.82465882,1.1364520140548,0.2864032850129345,0.8725918531013068,NS,protein-tyrosine sulfotransferase 1
7212,ENSMUSG00000034297,Med13,-0.1250377071,5.52249619,1.1373928639794,0.28620390324126305,0.8725918531013068,NS,mediator complex subunit 13
7217,ENSMUSG00000034320,Slc26a2,0.1600551806,3.49232956,1.127106028577,0.28839347105005814,0.8725918531013068,NS,"solute carrier family 26 (sulfate transporter), member 2"
7328,ENSMUSG00000034748,Sirt6,-0.2136280249,1.96036822,1.136458852209,0.2864018352580348,0.8725918531013068,NS,sirtuin 6
7363,ENSMUSG00000034875,Nudt19,-0.1264310557,5.70782814,1.128013295476,0.28819950357334434,0.8725918531013068,NS,nudix (nucleoside diphosphate linked moiety X)-type motif 19
7403,ENSMUSG00000035049,Rrp12,-0.1359259221,5.83295192,1.1284714386344,0.28810161875098156,0.8725918531013068,NS,ribosomal RNA processing 12 homolog
7768,ENSMUSG00000036667,Tcaf1,0.2569058425,2.24446729,1.1355446801589,0.2865957312677209,0.8725918531013068,NS,TRPM8 channel-associated factor 1
7811,ENSMUSG00000036864,Proser3,0.2300095083,1.58678363,1.1358569979994,0.28652946987131755,0.8725918531013068,NS,proline and serine rich 3
7917,ENSMUSG00000037242,Clic4,0.1447819639,5.70444897,1.1336926069887,0.28698906755993864,0.8725918531013068,NS,chloride intracellular channel 4 (mitochondrial)
8405,ENSMUSG00000038848,Ythdf1,-0.1227201912,5.4681034,1.1363297869479,0.2864291999152416,0.8725918531013068,NS,YTH N6-methyladenosine RNA binding protein 1
8598,ENSMUSG00000039556,Ppp1r3f,-0.2178480981,2.30632605,1.1349983979487,0.28671167737512593,0.8725918531013068,NS,"protein phosphatase 1, regulatory subunit 3F"
9076,ENSMUSG00000041453,Rpl21,-0.1173896602,7.12539236,1.1387423343756,0.2859182355002064,0.8725918531013068,NS,ribosomal protein L21
9630,ENSMUSG00000044783,Hjurp,0.1789668099,2.99915731,1.1269545954519,0.28842586259258063,0.8725918531013068,NS,Holliday junction recognition protein
10021,ENSMUSG00000047787,Flrt1,0.2540473314,2.14945431,1.1274119670678,0.288328044932214,0.8725918531013068,NS,fibronectin leucine rich transmembrane protein 1
10355,ENSMUSG00000050394,Armcx6,0.399061074,0.57192935,1.1285050994613,0.28809442859671597,0.8725918531013068,NS,"armadillo repeat containing, X-linked 6"
10801,ENSMUSG00000054434,Tmem120b,-0.141457007,3.83169774,1.130575776413,0.28765255807130125,0.8725918531013068,NS,transmembrane protein 120B
10963,ENSMUSG00000056131,Pgm3,0.2300758638,1.82183305,1.1377748935005,0.28612299512717093,0.8725918531013068,NS,phosphoglucomutase 3
11034,ENSMUSG00000056851,Pcbp2,-0.1170349551,6.92472459,1.1361706137776,0.28646295267982275,0.8725918531013068,NS,poly(rC) binding protein 2
11112,ENSMUSG00000057554,Lgals8,-0.1220693878,4.71823929,1.1355207537328,0.28660080830411205,0.8725918531013068,NS,"lectin, galactose binding, soluble 8"
11369,ENSMUSG00000060279,Ap2a1,-0.1105032426,6.47258935,1.1394471985514,0.2857691675424265,0.8725918531013068,NS,"adaptor-related protein complex 2, alpha 1 subunit"
12012,ENSMUSG00000069919,Hba-a1,0.1759647495,7.13780944,1.1294401797521,0.2878947810458277,0.8725918531013068,NS,"hemoglobin alpha, adult chain 1"
12216,ENSMUSG00000072964,Bhlhb9,-0.2083501844,1.93838294,1.1376740115519,0.286144357586886,0.8725918531013068,NS,"basic helix-loop-helix domain containing, class B9"
12474,ENSMUSG00000076435,Acsf2,-0.2474560724,2.09702299,1.1331551795184,0.2871033327327537,0.8725918531013068,NS,acyl-CoA synthetase family member 2
12519,ENSMUSG00000078588,Ccdc24,0.3370598388,0.72074595,1.131180866759,0.28752359800391347,0.8725918531013068,NS,coiled-coil domain containing 24
12772,ENSMUSG00000084790,Gm15879,-0.2643837233,2.23543317,1.1317730229786,0.28739746567410407,0.8725918531013068,NS,predicted gene 15879
12844,ENSMUSG00000085566,A730017L22Rik,0.2229253564,1.76077423,1.1271668288588,0.2883804671731625,0.8725918531013068,NS,RIKEN cDNA A730017L22 gene
13748,ENSMUSG00000105006,Gm9484,-0.341622068,0.84714006,1.1310318914944,0.2875553415818797,0.8725918531013068,NS,predicted gene 9484
13887,ENSMUSG00000108350,Gm44950,-0.3193713963,0.4703052,1.1293770754666,0.2879082488068562,0.8725918531013068,NS,predicted gene 44950
13999,ENSMUSG00000110580,D830024N08Rik,-0.3276963149,1.41834783,1.1366781734303,0.2863553419769675,0.8725918531013068,NS,RIKEN cDNA D830024N08 gene
10005,ENSMUSG00000047694,Yipf6,0.1619445564,3.61740865,1.1260256580172,0.2886246636237202,0.8730088071914597,NS,"Yip1 domain family, member 6"
520,ENSMUSG00000003934,Efnb3,0.4180514268,-0.23408655,1.1255492091517,0.2887266956554924,0.8731329478251013,NS,ephrin B3
3050,ENSMUSG00000022987,Zfp641,-0.1384617912,4.79580293,1.1249210805808,0.28886128022567004,0.8733554567498822,NS,zinc finger protein 641
103,ENSMUSG00000000876,Pxmp4,-0.131764103,3.96083213,1.1172578519483,0.29050967641567405,0.8734844977643894,NS,peroxisomal membrane protein 4
138,ENSMUSG00000001100,Poldip2,-0.107904769,6.63298923,1.1145515579496,0.2910946766370772,0.8734844977643894,NS,"polymerase (DNA-directed), delta interacting protein 2"
252,ENSMUSG00000001909,Trmt1,-0.1131379418,5.55980969,1.1204561829236,0.2898202471728768,0.8734844977643894,NS,tRNA methyltransferase 1
854,ENSMUSG00000007411,Mark3,-0.1090262772,5.9435633,1.1165672802367,0.29065880977146685,0.8734844977643894,NS,MAP/microtubule affinity regulating kinase 3
942,ENSMUSG00000009035,Tmem184b,0.1135251932,4.52039425,1.1237087714835,0.2891212588204314,0.8734844977643894,NS,transmembrane protein 184b
1100,ENSMUSG00000013646,Sh3bp5l,-0.1122587887,4.70915825,1.1220373792252,0.28948017612111143,0.8734844977643894,NS,SH3 binding domain protein 5 like
1171,ENSMUSG00000014846,Tppp3,0.1316961774,4.92176781,1.119916451862,0.2899364447266268,0.8734844977643894,NS,tubulin polymerization-promoting protein family member 3
1266,ENSMUSG00000015766,Eps8,0.2385353726,2.55377453,1.1166401679479,0.29064306459888806,0.8734844977643894,NS,epidermal growth factor receptor pathway substrate 8
1514,ENSMUSG00000018669,Cdk5rap3,-0.1237978977,4.68087369,1.1211307447307,0.28967510560117227,0.8734844977643894,NS,CDK5 regulatory subunit associated protein 3
2155,ENSMUSG00000020876,Snx11,0.1318108668,3.69698282,1.1191146801007,0.2901091660880223,0.8734844977643894,NS,sorting nexin 11
2270,ENSMUSG00000021147,Wdr37,-0.1158538091,4.90667441,1.1148188063239,0.29103684064179153,0.8734844977643894,NS,WD repeat domain 37
2373,ENSMUSG00000021413,Prpf4b,-0.1175436206,5.62438472,1.1203056941388,0.28985263961685337,0.8734844977643894,NS,pre-mRNA processing factor 4B
2391,ENSMUSG00000021468,Sptlc1,0.1316076346,3.80631515,1.1183329867669,0.2902776883382391,0.8734844977643894,NS,"serine palmitoyltransferase, long chain base subunit 1"
2440,ENSMUSG00000021595,Nsun2,-0.111077,5.78902139,1.1206478302664,0.2897790020992393,0.8734844977643894,NS,NOL1/NOP2/Sun domain family member 2
2614,ENSMUSG00000022003,Slc25a30,0.3289073539,3.5973969,1.1154283753731,0.29090497687748845,0.8734844977643894,NS,"solute carrier family 25, member 30"
2812,ENSMUSG00000022452,Smdt1,-0.1136813048,6.31765071,1.1160462841803,0.29077138680191206,0.8734844977643894,NS,single-pass membrane protein with aspartate rich tail 1
3369,ENSMUSG00000024327,Slc39a7,0.10903471519999999,5.90590973,1.1144961063707,0.2911066789108091,0.8734844977643894,NS,"solute carrier family 39 (zinc transporter), member 7"
3486,ENSMUSG00000024639,Gnaq,0.1308821517,3.98545205,1.1229134814271,0.2892919698929667,0.8734844977643894,NS,"guanine nucleotide binding protein, alpha q polypeptide"
5433,ENSMUSG00000029221,Slc30a9,0.1107578182,6.46904573,1.1202464382614,0.28986539560519475,0.8734844977643894,NS,"solute carrier family 30 (zinc transporter), member 9"
6794,ENSMUSG00000032604,Qars,-0.1112868303,6.03847242,1.1134524745015,0.29133268669453477,0.8734844977643894,NS,glutaminyl-tRNA synthetase
7257,ENSMUSG00000034472,Rasd2,0.1524752669,7.20712074,1.1233831131866,0.2891911467052121,0.8734844977643894,NS,"RASD family, member 2"
8160,ENSMUSG00000038122,Tbc1d32,0.2697640726,1.66377231,1.116427243655,0.29068906346727774,0.8734844977643894,NS,"TBC1 domain family, member 32"
8481,ENSMUSG00000039126,Prune2,-0.329810052,3.44855738,1.1182226713311,0.2903014808640117,0.8734844977643894,NS,prune homolog 2
8711,ENSMUSG00000039989,Cbx4,0.2271399085,1.84699978,1.1134973911098,0.2913229549928328,0.8734844977643894,NS,chromobox 4
8834,ENSMUSG00000040455,Usp45,-0.1249127256,4.23182743,1.1201920833383,0.28987709719611343,0.8734844977643894,NS,ubiquitin specific petidase 45
9019,ENSMUSG00000041203,Trir,-0.1132956931,5.53967799,1.1219833619935,0.2894917853265773,0.8734844977643894,NS,telomerase RNA component interacting RNase
9504,ENSMUSG00000043801,Oaz1-ps,-0.1528114153,3.61319945,1.1157534700348,0.29083468260676365,0.8734844977643894,NS,"ornithine decarboxylase antizyme 1, pseudogene"
